"log_stars","Stars","Forks","Issues","Size","language","age_group","created_year","log_size"
5.31811999384422,203,69,6,391,"PHP","Old",2015,5.97126183979046
5.27811465923052,195,52,5,83725,"Jupyter Notebook","Old",2018,11.3353048414549
5.68357976733868,293,41,2,299,"Java","Old",2016,5.7037824746562
5.77144112313002,320,22,7,3696,"C++","Old",2015,8.21527695893663
5.47227067367148,237,15,8,3532,"Kotlin","New",2020,8.16990264735914
5.98141421125448,395,40,1,18285,"Go","Old",2013,9.81389101872437
5.76832099579377,319,192,0,72,"Java","New",2021,4.29045944114839
5.21493575760899,183,3,0,191,"Kotlin","New",2022,5.25749537202778
5.25227342804663,190,22,0,1085,"Kotlin","Old",2017,6.99025650049388
6.48157712927643,652,75,51,2007,"C++","Old",2016,7.60489448081162
6.83195356556585,926,55,2,228,"PHP","Old",2016,5.43372200355424
5.62762111369064,277,30,6,40,"PHP","Old",2018,3.71357206670431
6.58202513889283,721,116,3,53833,"C#","Old",2011,10.893660516801
5.31320597904179,202,82,2,54195,"HTML","Old",2014,10.9003623839663
6.04973345523196,423,60,1,13,"Python","Old",2018,2.63905732961526
5.59471137960184,268,29,7,57,"Swift","Old",2014,4.06044301054642
7.93343838762749,2788,329,27,1590,"Swift","Old",2015,7.37211802833779
5.49306144334055,242,28,6,6458,"Python","New",2021,8.77322978603247
6.13556489108174,461,87,1,8248,"C++","New",2019,9.01784725986073
5.63478960316925,279,11,4,341,"Ruby","New",2019,5.8348107370626
7.27931883541462,1449,114,9,578,"JavaScript","Old",2012,6.361302477573
5.28826703069454,197,64,155,78715,"C++","New",2020,11.273601717427
5.64190707093811,281,254,21,2245,"Rust","Old",2018,7.71690613529839
5.59842195899838,269,88,25,8203,"Python","Old",2012,9.01237711919227
5.86078622346587,350,21,7,459,"Rust","Old",2017,6.13122648948314
6.13122648948314,459,59,5,627,"Swift","Old",2016,6.4425401664682
8.68490859582083,5912,1238,106,8393,"JavaScript","New",2019,9.03527244389354
